JA/AC-034,Japan - Honshu,Aichi Prefecture,JA/AC-034,383,1257,137.4783,34.8577,137.4783,34.8577,1,0,01/07/2015,31/12/2099,0,,,
JA/AC-035,Japan - Honshu,Aichi Prefecture,JA/AC-035,356,1168,137.5246,34.8870,137.5246,34.8870,1,0,01/07/2015,31/12/2099,0,,,
JA/AC-036,Japan - Honshu,Aichi Prefecture,JA/AC-036,330,1083,137.1574,34.8132,137.1574,34.8132,1,0,01/07/2015,31/12/2099,0,,,
JA/AC-037,Japan - Honshu,Aichi Prefecture,JA/AC-037,328,1076,137.1464,34.6021,137.1464,34.6021,1,0,01/07/2015,31/12/2099,0,,,
JA/AC-038,Japan - Honshu,Aichi Prefecture,JA/AC-038,326,1070,137.2686,35.1192,137.2686,35.1192,1,0,01/07/2015,31/12/2099,0,,,
JA/AC-039,Japan - Honshu,Aichi Prefecture,JA/AC-039,278,912,137.2399,34.6756,137.2399,34.6756,1,0,01/07/2015,31/12/2099,0,,,
JA/AM-001,Japan - Honshu,Aomori Prefecture,Iwakisan,1625,5331,140.3030,40.6559,140.3030,40.6559,10,3,01/07/2015,31/12/2099,1,18/10/2015,JE7RMV/7,
JA/AM-002,Japan - Honshu,Aomori Prefecture,Hakkoudasan (Oodake),1585,5200,140.8773,40.6589,140.8773,40.6589,10,3,01/07/2015,31/12/2099,0,,,
JA/AM-003,Japan - Honshu,Aomori Prefecture,Kushigamine (Kamidake),1517,4977,140.8426,40.6032,140.8426,40.6032,10,3,01/07/2015,31/12/2099,0,,,
JA/AM-004,Japan - Honshu,Aomori Prefecture,Mukaishirakamidake,1250,4101,140.0454,40.5239,140.0454,40.5239,8,3,01/07/2015,31/12/2099,0,,,
JA/AM-005,Japan - Honshu,Aomori Prefecture,Heraidake　 (Mitsudake),1159,3802,141.0015,40.4529,141.0015,40.4529,8,3,01/07/2015,31/12/2099,0,,,
JA/AM-006,Japan - Honshu,Aomori Prefecture,JA/AM-006,1050,3445,140.3273,40.4814,140.3273,40.4814,6,0,01/07/2015,31/12/2099,0,,,
JA/AM-007,Japan - Honshu,Aomori Prefecture,JA/AM-007,1023,3356,140.9552,40.6472,140.9552,40.6472,6,0,01/07/2015,31/12/2099,0,,,
JA/AM-008,Japan - Honshu,Aomori Prefecture,JA/AM-008,1020,3346,140.9988,40.7032,140.9988,40.7032,6,0,01/07/2015,31/12/2099,0,,,
JA/AM-009,Japan - Honshu,Aomori Prefecture,JA/AM-009,1012,3320,140.0996,40.4828,140.0996,40.4828,6,0,01/07/2015,31/12/2099,0,,,
JA/AM-010,Japan - Honshu,Aomori Prefecture,JA/AM-010,1000,3281,140.1841,40.4517,140.1841,40.4517,6,0,01/07/2015,31/12/2099,0,,,
JA/AM-011,Japan - Honshu,Aomori Prefecture,JA/AM-011,985,3232,140.7579,40.5637,140.7579,40.5637,6,0,01/07/2015,31/12/2099,0,,,
JA/AM-012,Japan - Honshu,Aomori Prefecture,JA/AM-012,958,3143,140.0426,40.5960,140.0426,40.5960,6,0,01/07/2015,31/12/2099,0,,,
JA/AM-013,Japan - Honshu,Aomori Prefecture,Tengudake,958,3143,140.0843,40.5271,140.0843,40.5271,6,0,01/07/2015,31/12/2099,0,,,
JA/AM-014,Japan - Honshu,Aomori Prefecture,JA/AM-014,956,3136,140.4485,40.4779,140.4485,40.4779,6,0,01/07/2015,31/12/2099,0,,,
JA/AM-015,Japan - Honshu,Aomori Prefecture,JA/AM-015,930,3051,140.0987,40.5712,140.0987,40.5712,6,0,01/07/2015,31/12/2099,0,,,
JA/AM-016,Japan - Honshu,Aomori Prefecture,JA/AM-016,921,3022,140.9197,40.7616,140.9197,40.7616,6,0,01/07/2015,31/12/2099,0,,,
JA/AM-017,Japan - Honshu,Aomori Prefecture,JA/AM-017,891,2923,140.0987,40.6549,140.0987,40.6549,6,0,01/07/2015,31/12/2099,0,,,
JA/AM-018,Japan - Honshu,Aomori Prefecture,JA/AM-018,885,2904,140.1555,40.5796,140.1555,40.5796,6,0,01/07/2015,31/12/2099,0,,,
JA/AM-019,Japan - Honshu,Aomori Prefecture,JA/AM-019,879,2884,140.1476,40.6059,140.1476,40.6059,6,0,01/07/2015,31/12/2099,0,,,
JA/AM-020,Japan - Honshu,Aomori Prefecture,Kamafuseyama,878,2881,141.1200,41.2785,141.1200,41.2785,6,0,01/07/2015,31/12/2099,0,,,
JA/AM-021,Japan - Honshu,Aomori Prefecture,JA/AM-021,874,2867,141.0249,41.3277,141.0249,41.3277,6,0,01/07/2015,31/12/2099,0,,,
JA/AM-022,Japan - Honshu,Aomori Prefecture,JA/AM-022,874,2867,140.9949,40.3285,140.9949,40.3285,6,0,01/07/2015,31/12/2099,0,,,
JA/AM-023,Japan - Honshu,Aomori Prefecture,Yosukedoumori,841,2759,140.9572,40.3083,140.9572,40.3083,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-024,Japan - Honshu,Aomori Prefecture,JA/AM-024,829,2720,140.1640,40.5407,140.1640,40.5407,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-025,Japan - Honshu,Aomori Prefecture,JA/AM-025,827,2713,141.0684,41.2930,141.0684,41.2930,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-026,Japan - Honshu,Aomori Prefecture,JA/AM-026,820,2690,140.0483,40.6761,140.0483,40.6761,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-027,Japan - Honshu,Aomori Prefecture,JA/AM-027,804,2638,141.0246,40.3851,141.0246,40.3851,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-028,Japan - Honshu,Aomori Prefecture,JA/AM-028,803,2635,141.0025,40.2727,141.0025,40.2727,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-029,Japan - Honshu,Aomori Prefecture,JA/AM-029,789,2589,140.2484,40.5010,140.2484,40.5010,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-030,Japan - Honshu,Aomori Prefecture,Hiuchidake,781,2562,141.0529,41.4391,141.0529,41.4391,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-031,Japan - Honshu,Aomori Prefecture,JA/AM-031,776,2546,140.8600,41.3245,140.8600,41.3245,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-032,Japan - Honshu,Aomori Prefecture,JA/AM-032,768,2520,140.7158,40.5991,140.7158,40.5991,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-033,Japan - Honshu,Aomori Prefecture,JA/AM-033,753,2470,140.9804,40.8062,140.9804,40.8062,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-034,Japan - Honshu,Aomori Prefecture,JA/AM-034,748,2454,139.9902,40.4505,139.9902,40.4505,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-035,Japan - Honshu,Aomori Prefecture,JA/AM-035,732,2402,140.0459,40.6966,140.0459,40.6966,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-036,Japan - Honshu,Aomori Prefecture,JA/AM-036,731,2398,140.1639,40.6640,140.1639,40.6640,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-037,Japan - Honshu,Aomori Prefecture,JA/AM-037,720,2362,141.0395,40.8404,141.0395,40.8404,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-038,Japan - Honshu,Aomori Prefecture,JA/AM-038,719,2359,141.0528,40.3621,141.0528,40.3621,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-039,Japan - Honshu,Aomori Prefecture,Maruyagatadake,718,2356,140.5866,41.1528,140.5866,41.1528,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-040,Japan - Honshu,Aomori Prefecture,JA/AM-040,714,2343,140.4020,41.1418,140.4020,41.1418,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-041,Japan - Honshu,Aomori Prefecture,JA/AM-041,710,2329,140.5932,40.4936,140.5932,40.4936,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-042,Japan - Honshu,Aomori Prefecture,Hakamagoshidake,708,2323,140.5793,41.1680,140.5793,41.1680,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-043,Japan - Honshu,Aomori Prefecture,JA/AM-043,690,2264,140.9099,40.4595,140.9099,40.4595,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-044,Japan - Honshu,Aomori Prefecture,JA/AM-044,684,2244,140.8917,40.8369,140.8917,40.8369,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-045,Japan - Honshu,Aomori Prefecture,JA/AM-045,677,2221,140.5485,40.9701,140.5485,40.9701,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-046,Japan - Honshu,Aomori Prefecture,Yotsudakiyama,670,2198,140.4005,41.1217,140.4005,41.1217,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-047,Japan - Honshu,Aomori Prefecture,JA/AM-047,663,2175,140.4238,40.5273,140.4238,40.5273,4,0,01/07/2015,31/12/2099,0,,,
JA/AM-048,Japan - Honshu,Aomori Prefecture,JA/AM-048,646,2119,140.8164,41.2388,140.8164,41.2388,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-049,Japan - Honshu,Aomori Prefecture,JA/AM-049,631,2070,140.8789,41.2367,140.8789,41.2367,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-050,Japan - Honshu,Aomori Prefecture,JA/AM-050,628,2060,140.5216,40.9956,140.5216,40.9956,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-051,Japan - Honshu,Aomori Prefecture,JA/AM-051,618,2028,140.9752,41.4391,140.9752,41.4391,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-052,Japan - Honshu,Aomori Prefecture,Nakuidake,615,2018,141.3084,40.3880,141.3084,40.3880,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-053,Japan - Honshu,Aomori Prefecture,JA/AM-053,612,2008,140.5629,40.4634,140.5629,40.4634,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-054,Japan - Honshu,Aomori Prefecture,JA/AM-054,603,1978,140.4389,41.1448,140.4389,41.1448,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-055,Japan - Honshu,Aomori Prefecture,JA/AM-055,588,1929,140.3947,40.5286,140.3947,40.5286,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-056,Japan - Honshu,Aomori Prefecture,JA/AM-056,587,1926,140.3711,41.1737,140.3711,41.1737,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-057,Japan - Honshu,Aomori Prefecture,JA/AM-057,564,1850,140.6490,40.5511,140.6490,40.5511,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-058,Japan - Honshu,Aomori Prefecture,JA/AM-058,556,1824,140.3688,41.2122,140.3688,41.2122,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-059,Japan - Honshu,Aomori Prefecture,JA/AM-059,551,1808,141.3446,41.0888,141.3446,41.0888,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-060,Japan - Honshu,Aomori Prefecture,JA/AM-060,550,1804,140.9574,41.2629,140.9574,41.2629,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-061,Japan - Honshu,Aomori Prefecture,JA/AM-061,549,1801,140.5771,40.8289,140.5771,40.8289,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-062,Japan - Honshu,Aomori Prefecture,JA/AM-062,539,1768,141.1326,40.3964,141.1326,40.3964,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-063,Japan - Honshu,Aomori Prefecture,JA/AM-063,516,1693,140.8222,41.3132,140.8222,41.3132,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-064,Japan - Honshu,Aomori Prefecture,JA/AM-064,510,1673,140.5250,40.5247,140.5250,40.5247,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-065,Japan - Honshu,Aomori Prefecture,JA/AM-065,505,1657,140.9604,41.2810,140.9604,41.2810,2,0,01/07/2015,31/12/2099,0,,,
JA/AM-066,Japan - Honshu,Aomori Prefecture,JA/AM-066,469,1539,141.3403,41.0237,141.3403,41.0237,1,0,01/07/2015,31/12/2099,0,,,
JA/AM-067,Japan - Honshu,Aomori Prefecture,Kuwahatayama,400,1312,141.4407,41.3876,141.4407,41.3876,1,0,01/07/2015,31/12/2099,0,,,
JA/AM-068,Japan - Honshu,Aomori Prefecture,JA/AM-068,386,1266,140.8914,40.8961,140.8914,40.8961,1,0,01/07/2015,31/12/2099,0,,,
JA/AM-069,Japan - Honshu,Aomori Prefecture,JA/AM-069,366,1201,140.9201,40.8812,140.9201,40.8812,1,0,01/07/2015,31/12/2099,0,,,
JA/AM-070,Japan - Honshu,Aomori Prefecture,JA/AM-070,338,1109,140.7817,41.2013,140.7817,41.2013,1,0,01/07/2015,31/12/2099,0,,,
JA/AM-071,Japan - Honshu,Aomori Prefecture,JA/AM-071,323,1060,140.9158,40.9527,140.9158,40.9527,1,0,01/07/2015,31/12/2099,0,,,
JA/AM-072,Japan - Honshu,Aomori Prefecture,JA/AM-072,301,988,141.4059,41.3273,141.4059,41.3273,1,0,01/07/2015,31/12/2099,0,,,
JA/AT-001,Japan - Honshu,Akita Prefecture,Komagatake (Onamedake),1637,5371,140.7994,39.7611,140.7994,39.7611,10,3,01/07/2015,31/12/2099,0,,,
