6841, 46.1667, 44.5, 143.25, 140.75
JA8/SY-001,Japan - Hokaido,Soya Subprefecture,Rishirizan (Rishirifuji),1721,5646,141.2420,45.1785,141.2420,45.1785,10,3,01/07/2015,31/12/2099,0,,,Saddle-Rishirizan (Rishirifuji)(JA8/SY-001), 0.0,1720.6,140.5000000,46.33333333,http://maps.gsi.go.jp/#15/45.1785/141.2420
JA8/SY-017,Japan - Hokaido,Soya Subprefecture,Rebundake,490,1608,141.0158,45.3725,141.0158,45.3725,1,0,01/07/2015,31/12/2099,0,,,Saddle-Rebundake(JA8/SY-017), 0.0,482.5,141.0295556,45.27333333,http://maps.gsi.go.jp/#15/45.3725/141.0158
JA8/KK-042,Japan - Hokaido,Kamikawa Subprefecture,Hakodake,1129,3704,142.4121,44.6659,142.4121,44.6659,8,3,01/07/2015,31/12/2099,0,,,Saddle-Hakodake(JA8/KK-042), 0.0,1127.7,141.2380000,45.09700000,http://maps.gsi.go.jp/#15/44.6659/142.4121
JA8/SY-031,Japan - Hokaido,Soya Subprefecture,JA8/SY-031,211,692,141.6488,45.4059,141.6488,45.4059,1,0,01/07/2015,31/12/2099,0,,,Saddle-JA8/SY-031(JA8/SY-031),25.8,184.5,141.8051111,45.22644444,http://maps.gsi.go.jp/#15/45.4059/141.6488
JA8/SY-030,Japan - Hokaido,Soya Subprefecture,JA8/SY-030,223,732,141.8507,45.3086,141.8507,45.3086,1,0,01/07/2015,31/12/2099,0,,,Saddle-JA8/SY-030(JA8/SY-030),70.3,150.6,141.8697778,45.32033333,http://maps.gsi.go.jp/#15/45.3086/141.8507
JA8/SY-026,Japan - Hokaido,Soya Subprefecture,JA8/SY-026,322,1056,142.5418,44.9491,142.5418,44.9491,1,0,01/07/2015,31/12/2099,0,,,Saddle-JA8/SY-026(JA8/SY-026),79.0,241.6,142.5186667,44.97288889,http://maps.gsi.go.jp/#15/44.9491/142.5418
JA8/KK-130,Japan - Hokaido,Kamikawa Subprefecture,JA8/KK-130,355,1165,142.2826,44.5280,142.2826,44.5280,1,0,01/07/2015,31/12/2099,0,,,Saddle-JA8/KK-130(JA8/KK-130),186.9,167.0,142.2781111,44.51233333,http://maps.gsi.go.jp/#15/44.5280/142.2826
JA8/RM-018,Japan - Hokaido,Rumoi Subprefecture,JA8/RM-018,404,1325,141.9907,44.7853,141.9907,44.7853,1,0,01/07/2015,31/12/2099,0,,,Saddle-JA8/RM-018(JA8/RM-018),233.1,172.1,141.9895556,44.76088889,http://maps.gsi.go.jp/#15/44.7853/141.9907
U-QN04xr93,Japan - ,,U-QN04xr93,413.8,1357.6,141.9976667,44.72111111,141.9976667,44.72111111,44.72111111,,,,,,,Saddle-U-QN04xr93,253.7,160.1,141.9978889,44.66444444,http://maps.gsi.go.jp/#15/44.72111111/141.9976667
JA8/KK-126,Japan - Hokaido,Kamikawa Subprefecture,JA8/KK-126,433,1421,142.0826,44.6041,142.0826,44.6041,1,0,01/07/2015,31/12/2099,0,,,Saddle-JA8/KK-126(JA8/KK-126),263.8,168.8,142.0761111,44.58222222,http://maps.gsi.go.jp/#15/44.6041/142.0826
JA8/RM-015,Japan - Hokaido,Rumoi Subprefecture,JA8/RM-015,550,1804,141.9913,44.5431,141.9913,44.5431,2,0,01/07/2015,31/12/2099,0,,,Saddle-JA8/RM-015(JA8/RM-015),302.9,247.3,142.0128889,44.55300000,http://maps.gsi.go.jp/#15/44.5431/141.9913
JA8/KK-116,Japan - Hokaido,Kamikawa Subprefecture,JA8/KK-116,534,1752,142.2247,44.6504,142.2247,44.6504,2,0,01/07/2015,31/12/2099,0,,,Saddle-JA8/KK-116(JA8/KK-116),370.8,162.9,142.2177778,44.62144444,http://maps.gsi.go.jp/#15/44.6504/142.2247
JA8/KK-088,Japan - Hokaido,Kamikawa Subprefecture,JA8/KK-088,728,2388,142.1602,44.6939,142.1602,44.6939,4,3,01/07/2015,31/12/2099,0,,,Saddle-JA8/KK-088(JA8/KK-088),378.1,342.5,142.1596667,44.65377778,http://maps.gsi.go.jp/#15/44.6939/142.1602
JA8/KK-106,Japan - Hokaido,Kamikawa Subprefecture,JA8/KK-106,605,1985,142.1497,44.6725,142.1497,44.6725,2,0,01/07/2015,31/12/2099,0,,,Saddle-JA8/KK-106(JA8/KK-106),403.3,200.8,142.1567778,44.67777778,http://maps.gsi.go.jp/#15/44.6725/142.1497
U-QN14bp75,Japan - ,,U-QN14bp75,581.3,1907.1,142.1430000,44.64866667,142.1430000,44.64866667,44.64866667,,,,,,,Saddle-U-QN14bp75,424.8,156.5,142.1511111,44.66244444,http://maps.gsi.go.jp/#15/44.64866667/142.143
U-QN14cq16,Japan - ,,U-QN14cq16,620.4,2035.4,142.1811111,44.69577778,142.1811111,44.69577778,44.69577778,,,,,,,Saddle-U-QN14cq16,452.2,168.2,142.1686667,44.69222222,http://maps.gsi.go.jp/#15/44.69577778/142.1811111
JA8/KK-098,Japan - Hokaido,Kamikawa Subprefecture,JA8/KK-098,637,2090,142.1884,44.6050,142.1884,44.6050,2,0,01/07/2015,31/12/2099,0,,,Saddle-JA8/KK-098(JA8/KK-098),438.7,198.0,142.1843333,44.59244445,http://maps.gsi.go.jp/#15/44.6050/142.1884
JA8/SY-022,Japan - Hokaido,Soya Subprefecture,Poroshiriyama,427,1401,142.0085,45.1656,142.0085,45.1656,1,0,01/07/2015,31/12/2099,0,,,Saddle-Poroshiriyama(JA8/SY-022),102.7,323.2,142.1058889,45.09100000,http://maps.gsi.go.jp/#15/45.1656/142.0085
U-QN15af15,Japan - ,,U-QN15af15,311.9,1023.3,142.0133333,45.23044444,142.0133333,45.23044444,45.23044444,,,,,,,Saddle-U-QN15af15,151.0,160.9,141.9870000,45.19577778,http://maps.gsi.go.jp/#15/45.23044444/142.0133333
(Missing)JA8/SY-027,Japan - Hokaido,Soya Subprefecture,JA8/SY-027,313,1027,141.9969,45.2360,141.9969,45.2360,1,0,01/07/2015,31/12/2099,0,,,Saddle-JA8/SY-027(JA8/SY-027),197.5,113.2,142.0090000,45.23011111,http://maps.gsi.go.jp/#15/45.2360/141.9969
U-QN04xw41,Japan - ,,U-QN04xw41,312.3,1024.6,141.9517778,44.92377778,141.9517778,44.92377778,44.92377778,,,,,,,Saddle-U-QN04xw41,161.5,150.8,141.9583333,44.95222222,http://maps.gsi.go.jp/#15/44.92377778/141.9517778
JA8/SY-029,Japan - Hokaido,Soya Subprefecture,JA8/SY-029,264,866,142.1643,45.1485,142.1643,45.1485,1,0,01/07/2015,31/12/2099,0,,,Saddle-JA8/SY-029(JA8/SY-029),108.5,154.7,142.1816667,45.12522222,http://maps.gsi.go.jp/#15/45.1485/142.1643
JA8/SY-028,Japan - Hokaido,Soya Subprefecture,JA8/SY-028,292,958,142.1914,45.1102,142.1914,45.1102,1,0,01/07/2015,31/12/2099,0,,,Saddle-JA8/SY-028(JA8/SY-028),117.8,172.3,142.1811111,45.06044444,http://maps.gsi.go.jp/#15/45.1102/142.1914
JA8/SY-012,Japan - Hokaido,Soya Subprefecture,JA8/SY-012,573,1880,142.5806,44.8130,142.5806,44.8130,2,0,01/07/2015,31/12/2099,0,,,Saddle-JA8/SY-012(JA8/SY-012),128.1,443.9,142.5423333,44.78222222,http://maps.gsi.go.jp/#15/44.8130/142.5806
U-QN14fx00,Japan - ,,U-QN14fx00,839.4,2753.9,142.4201111,44.96077778,142.4201111,44.96077778,44.96077778,,,,,,,Saddle-U-QN14fx00,136.8,702.6,142.3168889,44.82866667,http://maps.gsi.go.jp/#15/44.96077778/142.4201111
JA8/SY-009,Japan - Hokaido,Soya Subprefecture,Binneshiridake,703,2306,142.2345,44.8931,142.2345,44.8931,4,3,01/07/2015,31/12/2099,0,,,Saddle-Binneshiridake(JA8/SY-009),137.0,563.6,142.2861111,44.86866667,http://maps.gsi.go.jp/#15/44.8931/142.2345
JA8/SY-013,Japan - Hokaido,Soya Subprefecture,JA8/SY-013,531,1742,142.2663,44.9076,142.2663,44.9076,2,0,01/07/2015,31/12/2099,0,,,Saddle-JA8/SY-013(JA8/SY-013),317.8,213.1,142.2534444,44.89633333,http://maps.gsi.go.jp/#15/44.9076/142.2663
