5440, 36.8333, 35.8333, 141.25, 139.75
JA/IB-U-QM06cf82,Japan - Honshu,Ibaraki,JA/IB-U-QM06cf82,195.8,642.4,140.2358889,36.21955555,140.2358889,36.21955555,36.21955555,,,,,,,Saddle-U-QM06cf82,41.2,154.6,140.2422222,36.23711111,http://maps.gsi.go.jp/#15/36.21955556/140.2358889
JA/IB-003,Japan - Honshu,Ibaraki Prefecture,Tsukubasan,878,2881,140.1068,36.2254,140.1068,36.2254,6,0,01/07/2015,31/12/2099,10,23/01/2016,JS1UEH/1,Saddle-Tsukubasan(JA/IB-003),79.4,796.6,140.1621111,36.35288889,http://maps.gsi.go.jp/#15/36.2254/140.1068
JA/IB-008,Japan - Honshu,Ibaraki Prefecture,Nantaisan (?),553,1814,140.2223,36.3046,140.2223,36.3046,2,0,01/07/2015,31/12/2099,2,14/11/2015,JS1UEH/1,Saddle-Nantaisan (?)(JA/IB-008),86.7,465.3,140.1670000,36.31966666,http://maps.gsi.go.jp/#15/36.3046/140.2223
JA/IB-U-QM06ch97,Japan - Honshu,Ibaraki,JA/IB-U-QM06ch97,411.6,1350.4,140.2475556,36.32411111,140.2475556,36.32411111,36.32411111,,,,,,,Saddle-U-QM06ch97,241.8,169.8,140.2338889,36.32344444,http://maps.gsi.go.jp/#15/36.32411111/140.2475556
JA/IB-011,Japan - Honshu,Ibaraki Prefecture,Wagakunisan,518,1699,140.2011,36.3219,140.2011,36.3219,2,0,01/07/2015,31/12/2099,1,15/11/2015,JS1UEH/1,Saddle-Wagakunisan(JA/IB-011),313.6,203.0,140.2105556,36.31766666,http://maps.gsi.go.jp/#15/36.3219/140.2011
JA/IB-004,Japan - Honshu,Ibaraki Prefecture,Kabasan,709,2326,140.1435,36.2988,140.1435,36.2988,4,0,01/07/2015,31/12/2099,4,15/11/2015,JL1BWG,Saddle-Kabasan(JA/IB-004),246.3,460.0,140.1246667,36.24088889,http://maps.gsi.go.jp/#15/36.2988/140.1435
JA/IB-006,Japan - Honshu,Ibaraki Prefecture,Ashiosan,628,2060,140.1477,36.2797,140.1477,36.2797,2,0,01/07/2015,31/12/2099,5,15/11/2015,JR1NNL/1,Saddle-Ashiosan(JA/IB-006),427.5,198.7,140.1517778,36.28766666,http://maps.gsi.go.jp/#15/36.2797/140.1477
JA/IB-U-QM06be50,Japan - Honshu,Ibaraki,JA/IB-U-QM06be50,460.9,1512.1,140.1300000,36.16755555,140.1300000,36.16755555,36.16755555,,,,,,,Saddle-U-QM06be50,297.6,163.3,140.1351111,36.18133333,http://maps.gsi.go.jp/#15/36.16755556/140.13
JA/IB-U-QM06aj71,Japan - Honshu,Ibaraki,JA/IB-U-QM06aj71,283.1,928.8,140.0606667,36.38011111,140.0606667,36.38011111,36.38011111,,,,,,,Saddle-U-QM06aj71,88.5,194.6,140.0736667,36.41277778,http://maps.gsi.go.jp/#15/36.38011111/140.0606667
JA/IB-017,Japan - Honshu,Ibaraki Prefecture,Tomiyasan,365,1198,140.1047,36.3885,140.1047,36.3885,1,0,01/07/2015,31/12/2099,1,13/08/2015,JS1UEH/1,Saddle-Tomiyasan(JA/IB-017),106.4,258.1,140.1142222,36.41944444,http://maps.gsi.go.jp/#15/36.3885/140.1047
JA/IB-018,Japan - Honshu,Ibaraki Prefecture,JA/IB-018,300,984,140.1803,36.3680,140.1803,36.3680,1,0,01/07/2015,31/12/2099,0,,,Saddle-JA/IB-018(JA/IB-018),117.7,183.0,140.1871111,36.38100000,http://maps.gsi.go.jp/#15/36.3680/140.1803
JA/TG-071,Japan - Honshu,Tochigi Prefecture,JA/TG-071,533,1749,140.1428,36.4172,140.1428,36.4172,2,0,01/07/2015,31/12/2099,1,04/10/2015,JS1UEH/1,Saddle-JA/TG-071(JA/TG-071),127.6,404.9,140.1504444,36.53277778,http://maps.gsi.go.jp/#15/36.4172/140.1428
JA/IB-U-QM06dm41,Japan - Honshu,Ibaraki,JA/IB-U-QM06dm41,353.4,1159.4,140.2853333,36.50566667,140.2853333,36.50566667,36.50566667,,,,,,,Saddle-U-QM06dm41,186.9,166.5,140.2371111,36.50411111,http://maps.gsi.go.jp/#15/36.50566667/140.2853333
